 INFO  Accepting connections at http://localhost:3000
 HTTP  3/18/2026 9:28:25 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:28:25 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 9:28:25 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:28:25 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:29:35 PM ::1 GET /
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 200 in 5 ms
 HTTP  3/18/2026 9:29:35 PM ::1 GET /havlu.png
 HTTP  3/18/2026 9:29:35 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:29:35 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 9:29:35 PM ::1 GET /script.js
 HTTP  3/18/2026 9:29:35 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 304 in 3 ms
 HTTP  3/18/2026 9:29:35 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 9:29:35 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 200 in 1 ms
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 404 in 5 ms
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:29:35 PM ::1 Returned 404 in 3 ms
 HTTP  3/18/2026 9:29:39 PM ::1 GET /
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 200 in 3 ms
 HTTP  3/18/2026 9:29:39 PM ::1 GET /havlu.png
 HTTP  3/18/2026 9:29:39 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 9:29:39 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:29:39 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:29:39 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 9:29:39 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 304 in 4 ms
